age,job,marital,education,make_deposit,y
32,management,divorced,university.degree,0.01,no
37,unemployed,unknown,university.degree,0.148,no
73,retired,divorced,professional.course,0.3,no
44,entrepreneur,married,basic.4y,0.002,no
28,admin.,single,high.school,0.306,no
45,unemployed,married,basic.9y,0.162,no
58,admin.,divorced,university.degree,0.026,no
46,admin.,married,high.school,0,no
53,blue-collar,single,basic.9y,0.738,yes
30,admin.,single,university.degree,0.002,no
63,management,married,unknown,0.261,no
39,blue-collar,married,basic.9y,0.01,no
59,blue-collar,married,basic.9y,0.041,no
57,admin.,divorced,university.degree,0.2,no
46,management,married,basic.9y,0.002,no
35,blue-collar,married,basic.9y,0,no
43,self-employed,married,university.degree,0.665,yes
37,self-employed,married,high.school,0.308,no
30,technician,married,professional.course,0,no
68,retired,married,high.school,0.631,yes
38,unemployed,single,high.school,0.122,no
92,retired,married,unknown,0.898,yes
34,blue-collar,married,basic.9y,0.002,no
30,technician,single,professional.course,0.003,no
55,management,divorced,university.degree,0.116,no
34,blue-collar,married,basic.4y,0,no
33,technician,divorced,professional.course,0,no
44,management,married,basic.9y,0.034,no
43,services,married,basic.4y,0.001,no
34,admin.,married,university.degree,0.122,no
41,admin.,married,high.school,0.002,no
48,blue-collar,married,basic.9y,0.002,no
41,services,married,basic.9y,0.002,no
28,blue-collar,single,basic.6y,0.058,no
36,services,married,high.school,0,no
30,blue-collar,married,basic.9y,0.003,no
43,entrepreneur,married,university.degree,0.004,no
50,blue-collar,married,basic.4y,0.009,no
45,technician,divorced,professional.course,0.005,no
34,technician,married,high.school,0.007,no
39,technician,married,professional.course,0.008,no
33,blue-collar,married,basic.6y,0.001,no
34,blue-collar,married,basic.9y,0,no
35,management,married,university.degree,0.001,no
43,blue-collar,married,basic.4y,0.003,no
41,technician,married,professional.course,0.001,no
52,admin.,divorced,basic.6y,0.008,no
46,admin.,married,high.school,0.004,no
53,entrepreneur,divorced,university.degree,0.06,no
51,self-employed,married,basic.9y,0.001,no
37,self-employed,married,basic.9y,0.002,no
39,admin.,single,unknown,0.014,no
39,management,divorced,university.degree,0.005,no
42,blue-collar,married,basic.9y,0.178,no
32,admin.,married,high.school,0.052,no
26,services,single,basic.9y,0.015,no
49,blue-collar,married,unknown,0.009,no
49,admin.,divorced,basic.9y,0.012,no
46,admin.,divorced,basic.9y,0.001,no
35,technician,married,professional.course,0,no
46,self-employed,married,university.degree,0.484,no
29,services,single,university.degree,0.001,no
58,management,married,basic.4y,0.005,no
47,management,married,basic.4y,0.007,no
